SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1450 Brickell Bay Dr #709,Miami,FL,33131,598000,2,2.0,COSTA BELLA CONDO,1030,,1977,24,581,773,Active,,,https://www.redfin.com/FL/Miami/1450-Brickell-Bay-Dr-33131/unit-709/home/42758563,MARMLS,A11424616,N,Y,25.757545,-80.1912161
MLS Listing,,Condo/Co-op,3133 Clint Moore Rd #103,Boca Raton,FL,33496,365000,2,2.0,Bocar,1238,,1991,26,295,624,Active,,,https://www.redfin.com/FL/Boca-Raton/3133-Clint-Moore-Rd-33496/unit-103/home/42601020,Beaches MLS,RX-10907172,N,Y,26.4084694,-80.1484843
MLS Listing,,Townhouse,1000 SW 42nd Ave,Deerfield Beach,FL,33442,485000,3,2.0,Olympia & York Residential Plat,1495,4166,1997,31,324,591,Active,,,https://www.redfin.com/FL/Deerfield-Beach/1000-SW-42nd-Ave-33442/home/41472289,Beaches MLS,RX-10905967,N,Y,26.3045243,-80.1598341
MLS Listing,,Single Family Residential,830 N Lakeside Dr,Lake Worth,FL,33460,950000,3,2.0,Lake Worth Town OF,1846,6752,2020,32,515,,Active,,,https://www.redfin.com/FL/Lake-Worth-Beach/830-N-Lakeside-Dr-33460/home/172072953,Beaches MLS,RX-10905723,N,Y,26.6259745,-80.0488862
MLS Listing,,Townhouse,1001 Raintree Ln,Palm Beach Gardens,FL,33410,380000,3,2.5,Rainwood East Replat,1553,,1983,38,245,167,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/1001-Raintree-Ln-33410/home/42452441,Beaches MLS,RX-10904421,N,Y,26.8316606,-80.073707
MLS Listing,,Single Family Residential,1250 Mayview Way,Wellington,FL,33414,897900,4,2.5,Meadow Wood OF The Landings AT Wellingto,2761,23066,1989,38,325,17,Active,,,https://www.redfin.com/FL/Wellington/1250-Mayview-Way-33414/home/42500032,Beaches MLS,RX-10904406,N,Y,26.6643165,-80.2957814
MLS Listing,,Condo/Co-op,3525 S Ocean Blvd #4020,South Palm Beach,FL,33480,574500,2,2.0,Lakewood AT Palm Beach Condo,1204,,1985,38,477,713,Active,,,https://www.redfin.com/FL/South-Palm-Beach/3525-S-Ocean-Blvd-33480/unit-4020/home/42470413,Beaches MLS,RX-10904270,N,Y,26.5925586,-80.0396826
MLS Listing,,Condo/Co-op,18800 NE 29th Ave #324,Aventura,FL,33180,439000,2,2.0,VENTURE AT AVENTURA EAST,1086,,2005,39,404,696,Active,,,https://www.redfin.com/FL/Aventura/18800-NE-29th-Ave-33180/unit-324/home/43375990,MARMLS,A11417110,N,Y,25.9493447,-80.1436434
MLS Listing,,Single Family Residential,11194 Osprey Lake Ln,Palm Beach Gardens,FL,33412,789000,4,3.0,Osprey Isles Pud,2484,7150,2006,40,318,277,Active,,,https://www.redfin.com/FL/Palm-Beach-Gardens/11194-Osprey-Lake-Ln-33412/home/168150662,Beaches MLS,RX-10903760,N,Y,26.8202487,-80.216402
MLS Listing,,Condo/Co-op,3000 N Ocean Dr Unit 22e,Singer Island,FL,33404,1229000,2,2.0,Tiara Condo,1468,,1977,40,837,1515,Active,,,https://www.redfin.com/FL/Riviera-Beach/3000-N-Ocean-Dr-33404/unit-22E/home/42463610,Beaches MLS,RX-10903655,N,Y,26.7868613,-80.0332519
